,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,99926033,Nifty 200,NIFTY 200,,0.000000,1,AMXIDX,NSE,0.000000
1,99926034,Nifty Div Opps 50,NIFTY DIV OPPS 50,,0.000000,1,AMXIDX,NSE,0.000000
2,99926035,Nifty Commodities,NIFTY COMMODITIES,,0.000000,1,AMXIDX,NSE,0.000000
3,99926036,Nifty Consumption,NIFTY CONSUMPTION,,0.000000,1,AMXIDX,NSE,0.000000
4,99926037,Nifty Fin Service,FINNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
5,99926038,Nifty50 Div Point,NIFTY50 DIV POINT,,0.000000,1,AMXIDX,NSE,0.000000
6,99926030,Nifty Metal,NIFTY METAL,,0.000000,1,AMXIDX,NSE,0.000000
7,99926031,Nifty Media,NIFTY MEDIA,,0.000000,1,AMXIDX,NSE,0.000000
8,99926032,NIFTY SMLCAP 100,NIFTY SMLCAP 100,,0.000000,1,AMXIDX,NSE,0.000000
9,99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,,0.000000,1,AMXIDX,NSE,0.000000
10,99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000
11,99926045,Nifty50 Value 20,NIFTY50 VALUE 20,,0.000000,1,AMXIDX,NSE,0.000000
12,99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,,0.000000,1,AMXIDX,NSE,0.000000
13,99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0.000000,1,AMXIDX,NSE,0.000000
14,99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000
15,99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,,0.000000,1,AMXIDX,NSE,0.000000
16,99926040,Nifty100 Liq 15,NIFTY100 LIQ 15,,0.000000,1,AMXIDX,NSE,0.000000
17,99926041,Nifty CPSE,NIFTY CPSE,,0.000000,1,AMXIDX,NSE,0.000000
18,99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000
19,99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,,0.000000,1,AMXIDX,NSE,0.000000
20,99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,,0.000000,1,AMXIDX,NSE,0.000000
21,99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0.000000,1,AMXIDX,NSE,0.000000
22,99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000
23,99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000
24,99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,,0.000000,1,AMXIDX,NSE,0.000000
25,99926059,NIFTY Alpha 50,NIFTY ALPHA 50,,0.000000,1,AMXIDX,NSE,0.000000
26,99926050,Nifty GS 10Yr,NIFTY GS 10YR,,0.000000,1,AMXIDX,NSE,0.000000
27,99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,,0.000000,1,AMXIDX,NSE,0.000000
28,99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,,0.000000,1,AMXIDX,NSE,0.000000
29,99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,,0.000000,1,AMXIDX,NSE,0.000000
30,99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000
31,99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0.000000,1,AMXIDX,NSE,0.000000
32,99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0.000000,1,AMXIDX,NSE,0.000000
33,99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0.000000,1,AMXIDX,NSE,0.000000
34,99926074,NIFTY MID SELECT,MIDCPNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
35,99926004,Nifty 500,NIFTY 500,,0.000000,1,AMXIDX,NSE,0.000000
36,99926008,Nifty IT,NIFTY IT,,0.000000,1,AMXIDX,NSE,0.000000
37,99926009,Nifty Bank,BANKNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
38,99926000,Nifty 50,NIFTY,,0.000000,1,AMXIDX,NSE,0.000000
39,99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,,0.000000,1,AMXIDX,NSE,0.000000
40,99926002,Nifty50 PR 2x Lev,NIFTY50 PR 2X LEV,,0.000000,1,AMXIDX,NSE,0.000000
41,99926013,Nifty Next 50,NIFTYNXT50,,0.000000,1,AMXIDX,NSE,0.000000
42,99926014,Nifty Midcap 50,NIFTY MIDCAP 50,,0.000000,1,AMXIDX,NSE,0.000000
43,99926016,HangSeng BeES-NAV,HANGSENG BEES-NAV,,0.000000,1,AMXIDX,NSE,0.000000
44,99926017,India VIX,INDIA VIX,,0.000000,1,AMXIDX,NSE,0.000000
45,99926018,Nifty Realty,NIFTY REALTY,,0.000000,1,AMXIDX,NSE,0.000000
46,99926019,Nifty Infra,NIFTY INFRA,,0.000000,1,AMXIDX,NSE,0.000000
